symbol,isin,stock_name,issuer_name,face_value,country,industry,outstanding_shares,
ADANIPOWER,INE814H01011,Adani Power Limited,Adani Power Limited,10,INDIA,ENERGY,POWER - GENERATION & DISTRIBUTION,
ADANITRANS,INE931S01010,Adani Transmission Limited,Adani Transmission Limited,10,INDIA,ENERGY,POWER - TRANSMISSION & EQUIPMENT,
ADFFOODS,INE982B01019,ADF Foods Limited,ADF Foods Limited,10,INDIA,CONSUMER GOODS,FOOD PROCESSING,
ADHUNIK,INE400H01019,Adhunik Metaliks Limited,Adhunik Metaliks Limited,10,INDIA,METALS,#N/A,
ADHUNIKIND,INE452L01012,Adhunik Industries Limited,Adhunik Industries Limited,10,INDIA,,#N/A,
ADLABS,INE172N01012,Adlabs Entertainment Limited,Adlabs Entertainment Limited,10,INDIA,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
ADORWELD,INE045A01017,Ador Welding Limited,Ador Welding Limited,10,INDIA,,#N/A,
ADROITINFO,INE737B01033,,,,INDIA,,#N/A,
ADSL,INE102I01027,Allied Digital Services Limited,Allied Digital Services Limited,5,INDIA,,#N/A,
ADVANIHOTR,INE199C01026,Advani Hotels & Resorts (India) Limited,Advani Hotels & Resorts (India) Limited,2,INDIA,SERVICES,HOTELS,
ADVENZYMES,INE837H01020,Advanced Enzyme Technologies Limited,Advanced Enzyme Technologies Limited,2,INDIA,PHARMA,PHARMACEUTICALS,
AEGISCHEM,INE208C01025,Aegis Logistics Limited,Aegis Logistics Limited,1,INDIA,ENERGY,TRANSPORT & LOGISTICS,
AFL,INE020G01017,,,,INDIA,,#N/A,
AGARIND,INE204E01012,Agarwal Industrial Corporation Limited,Agarwal Industrial Corporation Limited,10,INDIA,,#N/A,
AGCNET,INE676A01019,AGC Networks Limited,AGC Networks Limited,10,INDIA,,#N/A,
AGLSL,INE517U01013,Artemis Global Life Sciences Limited,Artemis Global Life Sciences Limited,2,INDIA,,#N/A,
AGRITECH,INE449G01018,Agri-Tech (India) Limited,Agri-Tech (India) Limited,10,INDIA,,#N/A,
AGROPHOS,INE740V01019,,,,INDIA,,#N/A,
AHLEAST,INE926K01017,Asian Hotels (East) Limited,Asian Hotels (East) Limited,10,INDIA,SERVICES,HOTELS,
AHLUCONT,INE758C01029,Ahluwalia Contracts (India) Limited,Ahluwalia Contracts (India) Limited,2,INDIA,,#N/A,
AHLWEST,INE915K01010,Asian Hotels (West) Limited,Asian Hotels (West) Limited,10,INDIA,SERVICES,HOTELS,
AIAENG,INE212H01026,AIA Engineering Limited,AIA Engineering Limited,2,INDIA,INDUSTRIAL MANUFACTURING,CASTINGS & FORGINGS,
AICHAMP,INE768E01024,AI Champdany Industries Limited,AI Champdany Industries Limited,5,INDIA,,#N/A,
AIFL,INE428O01016,Ashapura Intimates Fashion Limited,Ashapura Intimates Fashion Limited,10,INDIA,TEXTILES,TEXTILES - READYMADE APPARELS,
AIRAN,INE645W01018,,,,INDIA,,#N/A,
AIROLAM,INE801L01010,,,,INDIA,,#N/A,
AISL,INE635Y01015,,,,INDIA,,#N/A,
AJANTPHARM,INE031B01049,Ajanta Pharma Limited,Ajanta Pharma Limited,2,INDIA,PHARMA,PHARMACEUTICALS,
AJMERA,INE298G01027,Ajmera Realty & Infra India Limited,Ajmera Realty & Infra India Limited,10,INDIA,CONSTRUCTION,#N/A,
AJOONI,INE820Y01013,,,,INDIA,,#N/A,
AKSHARCHEM,INE542B01011,AksharChem India Limited,AksharChem India Limited,10,INDIA,,#N/A,
AKSHOPTFBR,INE523B01011,Aksh Optifibre Limited,Aksh Optifibre Limited,5,INDIA,,#N/A,
AKZOINDIA,INE133A01011,Akzo Nobel India Limited,Akzo Nobel India Limited,10,INDIA,CONSUMER GOODS,PAINTS & VARNISHES,
ALANKIT,INE914E01040,Alankit Limited,Alankit Limited,1,INDIA,,#N/A,
ALBERTDAVD,INE155C01010,Albert David Limited,Albert David Limited,10,INDIA,,#N/A,
ALBK,INE428A01015,Allahabad Bank,Allahabad Bank,10,INDIA,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,
ALCHEM,INE964B01033,Alchemist Limited,Alchemist Limited,10,INDIA,CHEMICALS,CHEMICALS,
ALEMBICLTD,INE426A01027,Alembic Limited,Alembic Limited,2,INDIA,,#N/A,
ALICON,INE062D01024,Alicon Castalloy Limited,Alicon Castalloy Limited,5,INDIA,,#N/A,
ALKALI,INE773I01017,Alkali Metals Limited,Alkali Metals Limited,10,INDIA,METALS,#N/A,
ALKEM,INE540L01014,Alkem Laboratories Limited,Alkem Laboratories Limited,2,INDIA,PHARMA,PHARMACEUTICALS,
ALKYLAMINE,INE150B01021,Alkyl Amines Chemicals Limited,Alkyl Amines Chemicals Limited,5,INDIA,CHEMICALS,CHEMICALS,
ALLCARGO,INE418H01029,Allcargo Logistics Limited,Allcargo Logistics Limited,2,INDIA,SERVICES,TRANSPORT & LOGISTICS,
ALLSEC,INE835G01018,Allsec Technologies Limited,Allsec Technologies Limited,10,INDIA,IT,COMPUTERS - SOFTWARE,
ALMONDZ,INE326B01027,Almondz Global Securities Limited,Almondz Global Securities Limited,6,INDIA,,#N/A,
ALOKTEXT,INE270A01011,Alok Industries Limited,Alok Industries Limited,10,INDIA,,#N/A,
ALPA,INE385I01010,Alpa Laboratories Limited,Alpa Laboratories Limited,10,INDIA,,#N/A,
ALPHAGEO,INE137C01018,Alphageo (India) Limited,Alphageo (India) Limited,10,INDIA,,#N/A,
ALPSINDUS,INE093B01015,Alps Industries Limited,Alps Industries Limited,10,INDIA,,#N/A,
AMARAJABAT,INE885A01032,Amara Raja Batteries Limited,Amara Raja Batteries Limited,1,INDIA,AUTOMOBILE,AUTO ANCILLARIES,
AMBANIORG,INE00C501018,,,,INDIA,,#N/A,
AMBER,INE371P01015,,,,INDIA,,#N/A,
AMBIKCO,INE540G01014,Ambika Cotton Mills Limited,Ambika Cotton Mills Limited,10,INDIA,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
AMBUJACEM,INE079A01024,Ambuja Cements Limited,Ambuja Cements Limited,2,INDIA,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
AMDIND,INE005I01014,AMD Industries Limited,AMD Industries Limited,10,INDIA,,#N/A,
AMJLAND,INE606A01024,,,,INDIA,,#N/A,
AMJUMBO,INE749Y01014,,,,INDIA,,#N/A,
AMRUTANJAN,INE098F01031,Amrutanjan Health Care Limited,Amrutanjan Health Care Limited,2,INDIA,PHARMA,PHARMACEUTICALS,
AMTEKAUTO,INE130C01021,Amtek Auto Limited,Amtek Auto Limited,2,INDIA,AUTOMOBILE,AUTO ANCILLARIES,
ANANTRAJ,INE242C01024,Anant Raj Limited,Anant Raj Limited,2,INDIA,,#N/A,
ANDHRABANK,INE434A01013,Andhra Bank,Andhra Bank,10,INDIA,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,
ANDHRACEMT,INE666E01012,Andhra Cements Limited,Andhra Cements Limited,10,INDIA,,#N/A,
ANDHRSUGAR,INE715B01013,The Andhra Sugars Limited,The Andhra Sugars Limited,10,INDIA,CONSUMER GOODS,SUGAR,
ANGIND,INE017D01010,ANG Industries Limited,ANG Industries Limited,10,INDIA,,#N/A,
ANIKINDS,INE087B01017,Anik Industries Limited,Anik Industries Limited,10,INDIA,,#N/A,
ANKITMETAL,INE106I01010,,,,INDIA,,#N/A,
ANSALAPI,INE436A01026,Ansal Properties & Infrastructure Limited,Ansal Properties & Infrastructure Limited,5,INDIA,CONSTRUCTION,#N/A,
ANSALHSG,INE880B01015,Ansal Housing and Construction Limited,Ansal Housing and Construction Limited,10,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,
ANTGRAPHIC,INE414B01021,Antarctica Limited,Antarctica Limited,1,INDIA,,#N/A,
APARINDS,INE372A01015,Apar Industries Limited,Apar Industries Limited,10,INDIA,INDUSTRIAL MANUFACTURING,ELECTRIC EQUIPMENT,INDUSTRIAL MANUFACTURING
APCL,INE071F01012,Anjani Portland Cement Limited,Anjani Portland Cement Limited,10,INDIA,,#N/A,
APCOTEXIND,INE116A01024,Apcotex Industries Limited,Apcotex Industries Limited,5,INDIA,,#N/A,
APEX,INE346W01013,Apex Frozen Foods Limited,Apex Frozen Foods Limited,10,INDIA,CONSUMER GOODS,FOOD PROCESSING,
APLAPOLLO,INE702C01019,APL Apollo Tubes Limited,APL Apollo Tubes Limited,10,INDIA,METALS,STEEL - TUBES & PIPES,
APLLTD,INE901L01018,Alembic Pharmaceuticals Limited,Alembic Pharmaceuticals Limited,2,INDIA,PHARMA,PHARMACEUTICALS,
APOLLO,INE713T01010,,,,INDIA,,#N/A,
APOLLOHOSP,INE437A01024,Apollo Hospitals Enterprise Limited,Apollo Hospitals Enterprise Limited,5,INDIA,HEALTHCARE SERVICES,HOSPITALS & MEDICAL SERVICES,
APOLLOTYRE,INE438A01022,Apollo Tyres Limited,Apollo Tyres Limited,1,INDIA,AUTOMOBILE,TYRES,
APOLSINHOT,INE451F01016,Apollo Sindoori Hotels Limited,Apollo Sindoori Hotels Limited,10,INDIA,SERVICES,HOTELS,
APTECHT,INE266F01018,Aptech Limited,Aptech Limited,10,INDIA,,#N/A,
ARCHIDPLY,INE877I01016,Archidply Industries Limited,Archidply Industries Limited,10,INDIA,,#N/A,
ARCHIES,INE731A01020,Archies Limited,Archies Limited,2,INDIA,,#N/A,
ARCOTECH,INE574I01035,Arcotech Limited,Arcotech Limited,2,INDIA,,#N/A,
ARIES,INE298I01015,Aries Agro Limited,Aries Agro Limited,10,INDIA,,#N/A,
ARIHANT,INE413D01011,Arihant Foundations & Housing Limited,Arihant Foundations & Housing Limited,10,INDIA,,#N/A,
ARIHANTSUP,INE643K01018,Arihant Superstructures Limited,Arihant Superstructures Limited,10,INDIA,,#N/A,
ARMANFIN,INE109C01017,Arman Financial Services Limited,Arman Financial Services Limited,10,INDIA,,#N/A,
AROGRANITE,INE210C01013,Aro Granite Industries Limited,Aro Granite Industries Limited,10,INDIA,,#N/A,
ARROWGREEN,INE570D01018,Arrow Greentech Limited,Arrow Greentech Limited,10,INDIA,,#N/A,
ARROWTEX,INE933J01015,Arrow Textiles Limited,Arrow Textiles Limited,10,INDIA,TEXTILES,TEXTILES - READYMADE APPARELS,
ARSHIYA,INE968D01022,Arshiya Limited,Arshiya Limited,2,INDIA,,#N/A,
ARSSINFRA,INE267I01010,ARSS Infrastructure Projects Limited,ARSS Infrastructure Projects Limited,10,INDIA,CONSTRUCTION,#N/A,
ARTNIRMAN,INE738V01013,,,,INDIA,,#N/A,
ARVIND,INE034A01011,Arvind Limited,Arvind Limited,10,INDIA,TEXTILES,TEXTILES - DENIM,#N/A
ARVSMART,INE034S01021,Arvind SmartSpaces Limited,Arvind SmartSpaces Limited,10,INDIA,,#N/A,
ASAHIINDIA,INE439A01020,Asahi India Glass Limited,Asahi India Glass Limited,1,INDIA,AUTOMOBILE,GLASS & GLASS PRODUCTS,
ASAHISONG,INE228I01012,Asahi Songwon Colors Limited,Asahi Songwon Colors Limited,10,INDIA,,#N/A,
ASAL,INE900C01027,Automotive Stampings and Assemblies Limited,Automotive Stampings and Assemblies Limited,10,INDIA,AUTOMOBILE,AUTO ANCILLARIES,
ASHAPURMIN,INE348A01023,Ashapura Minechem Limited,Ashapura Minechem Limited,2,INDIA,,#N/A,
ASHIANA,INE365D01021,Ashiana Housing Limited,Ashiana Housing Limited,2,INDIA,,#N/A,
ASHIMASYN,INE440A01010,Ashima Limited,Ashima Limited,10,INDIA,,#N/A,
ASHOKA,INE442H01029,Ashoka Buildcon Limited,Ashoka Buildcon Limited,5,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,
ASHOKLEY,INE208A01029,Ashok Leyland Limited,Ashok Leyland Limited,1,INDIA,AUTOMOBILE,AUTO - LCVS & HCVS,
ASIANHOTNR,INE363A01022,Asian Hotels (North) Limited,Asian Hotels (North) Limited,10,INDIA,SERVICES,HOTELS,
ASIANPAINT,INE021A01026,Asian Paints Limited,Asian Paints Limited,1,INDIA,CONSUMER GOODS,PAINTS & VARNISHES,
ASIANTILES,INE022I01019,Asian Granito India Limited,Asian Granito India Limited,10,INDIA,,#N/A,
ASPINWALL,INE991I01015,Aspinwall and Company Limited,Aspinwall and Company Limited,10,INDIA,,#N/A,
ASSAMCO,INE442A01024,Assam Company India Limited,Assam Company India Limited,1,INDIA,,#N/A,
ASTEC,INE563J01010,Astec LifeSciences Limited,Astec LifeSciences Limited,10,INDIA,,#N/A,
ASTERDM,INE914M01019,Aster DM Healthcare Ltd.,Aster DM Healthcare Ltd.,,INDIA,HEALTHCARE SERVICES,DIVERSIFIED,
ASTRAL,INE006I01046,Astral Poly Technik Limited,Astral Poly Technik Limited,1,INDIA,INDUSTRIAL MANUFACTURING,PLASTICS,
ASTRAMICRO,INE386C01029,Astra Microwave Products Limited,Astra Microwave Products Limited,2,INDIA,TELECOM,TELECOMMUNICATIONS - EQUIPMENT,TELECOM
ASTRAZEN,INE203A01020,AstraZeneca Pharma India Limited,AstraZeneca Pharma India Limited,2,INDIA,PHARMA,PHARMACEUTICALS,CONSUMER GOODS
ASTRON,INE646X01014,,,,INDIA,,#N/A,
ATFL,INE209A01019,Agro Tech Foods Limited,Agro Tech Foods Limited,10,INDIA,CONSUMER GOODS,FOOD PROCESSING,
ATLANTA,INE285H01022,Atlanta  Limited,Atlanta  Limited,2,INDIA,,#N/A,
ATLASCYCLE,INE446A01025,Atlas Cycles (Haryana) Limited,Atlas Cycles (Haryana) Limited,10,INDIA,,#N/A,
ATUL,INE100A01010,Atul Limited,Atul Limited,10,INDIA,CHEMICALS,DYES & PIGMENTS,
ATULAUTO,INE951D01028,Atul Auto Limited,Atul Auto Limited,5,INDIA,AUTOMOBILE,AUTO - 2 & 3 WHEELERS,
AUBANK,INE949L01017,AU Small Finance Bank Limited,AU Small Finance Bank Limited,10,INDIA,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,
AURDIS,INE448V01019,,,,INDIA,,#N/A,
AURIONPRO,INE132H01018,Aurionpro Solutions Limited,Aurionpro Solutions Limited,10,INDIA,,#N/A,
AUROPHARMA,INE406A01037,Aurobindo Pharma Limited,Aurobindo Pharma Limited,1,INDIA,PHARMA,PHARMACEUTICALS,
AUSOMENT,INE218C01016,Ausom Enterprise Limited,Ausom Enterprise Limited,10,INDIA,,#N/A,
AUTOAXLES,INE449A01011,Automotive Axles Limited,Automotive Axles Limited,10,INDIA,AUTOMOBILE,AUTO ANCILLARIES,
AUTOIND,INE718H01014,Autoline Industries Limited,Autoline Industries Limited,10,INDIA,AUTOMOBILE,AUTO ANCILLARIES,
AUTOLITIND,INE448A01013,Autolite (India) Limited,Autolite (India) Limited,10,INDIA,AUTOMOBILE,AUTO ANCILLARIES,
AVADHSUGAR,INE349W01017,Avadh Sugar & Energy Limited,Avadh Sugar & Energy Limited,10,INDIA,CONSUMER GOODS,SUGAR,
AVANTIFEED,INE871C01038,Avanti Feeds Limited,Avanti Feeds Limited,2,INDIA,CONSUMER GOODS,AQUACULTURE,
AVG,INE680Z01018,,,,INDIA,,#N/A,
AVTNPL,INE488D01021,AVT Natural Products Limited,AVT Natural Products Limited,1,INDIA,,#N/A,
AXISBANK,INE238A01034,Axis Bank Limited,Axis Bank Limited,2,INDIA,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,
AXISCADES,INE555B01013,AXISCADES Engineering Technologies Limited,AXISCADES Engineering Technologies Limited,5,INDIA,INDUSTRIAL MANUFACTURING,#N/A,
AXISGOLD,INF846K01347,,,,INDIA,,#N/A,
AXISNIFTY,INF846K01ZL0,,,,INDIA,,#N/A,
AYMSYNTEX,INE193B01039,AYM Syntex Limited,AYM Syntex Limited,10,INDIA,,#N/A,
BAFNAPHARM,INE878I01014,Bafna Pharmaceuticals Limited,Bafna Pharmaceuticals Limited,10,INDIA,PHARMA,PHARMACEUTICALS,
BAGFILMS,INE116D01028,B.A.G Films and Media Limited,B.A.G Films and Media Limited,2,INDIA,,#N/A,
BAJAJ-AUTO,INE917I01010,Bajaj Auto Limited,Bajaj Auto Limited,10,INDIA,AUTOMOBILE,AUTO - 2 & 3 WHEELERS,
BAJAJCORP,INE933K01021,Bajaj Corp Limited,Bajaj Corp Limited,1,INDIA,CONSUMER GOODS,PERSONAL CARE,
BAJAJELEC,INE193E01025,Bajaj Electricals Limited,Bajaj Electricals Limited,2,INDIA,CONSUMER GOODS,DOMESTIC APPLIANCES,
BAJAJFINSV,INE918I01018,Bajaj Finserv Limited,Bajaj Finserv Limited,5,INDIA,FINANCIAL SERVICES,FINANCE - INVESTMENTS,
BAJAJHIND,INE306A01021,Bajaj Hindusthan Sugar Limited,Bajaj Hindusthan Sugar Limited,1,INDIA,CONSUMER GOODS,SUGAR,
BAJAJHLDNG,INE118A01012,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - INVESTMENTS,
BAJFINANCE,INE296A01024,Bajaj Finance Limited,Bajaj Finance Limited,2,INDIA,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,
BALAJITELE,INE794B01026,Balaji Telefilms Limited,Balaji Telefilms Limited,2,INDIA,,#N/A,
BALAMINES,INE050E01027,Balaji Amines Limited,Balaji Amines Limited,2,INDIA,,#N/A,
BALKRISHNA,INE875R01011,Balkrishna Paper Mills Limited,Balkrishna Paper Mills Limited,10,INDIA,,#N/A,
BALKRISIND,INE787D01026,Balkrishna Industries Limited,Balkrishna Industries Limited,2,INDIA,AUTOMOBILE,TYRES,
BALLARPUR,INE294A01037,Ballarpur Industries Limited,Ballarpur Industries Limited,2,INDIA,PAPER,#N/A,
BALMLAWRIE,INE164A01016,Balmer Lawrie & Company Limited,Balmer Lawrie & Company Limited,10,INDIA,SERVICES,DIVERSIFIED,
BALPHARMA,INE083D01012,Bal Pharma Limited,Bal Pharma Limited,10,INDIA,PHARMA,PHARMACEUTICALS,
BALRAMCHIN,INE119A01028,Balrampur Chini Mills Limited,Balrampur Chini Mills Limited,1,INDIA,CONSUMER GOODS,SUGAR,
BANARBEADS,INE655B01011,Banaras Beads Limited,Banaras Beads Limited,10,INDIA,,#N/A,
BANARISUG,INE459A01010,Bannari Amman Sugars Limited,Bannari Amman Sugars Limited,10,INDIA,CONSUMER GOODS,SUGAR,
BANCOINDIA,INE213C01025,Banco Products (I) Limited,Banco Products (I) Limited,2,INDIA,,#N/A,
BANDHANBNK,INE545U01014,,,,INDIA,,#N/A,
BANG,INE863I01016,Bang Overseas Limited,Bang Overseas Limited,10,INDIA,,#N/A,
BANKBARODA,INE028A01039,Bank of Baroda,Bank of Baroda,2,INDIA,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,
BANKBEES,INF732E01078,,,,INDIA,,#N/A,
BANKINDIA,INE084A01016,Bank of India,Bank of India,10,INDIA,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,
BANSAL,INE668X01018,,,,INDIA,,#N/A,
BANSWRAS,INE629D01012,Banswara Syntex Limited,Banswara Syntex Limited,10,INDIA,,#N/A,
BARTRONICS,INE855F01034,Bartronics India Limited,Bartronics India Limited,10,INDIA,,#N/A,
BASF,INE373A01013,BASF India Limited,BASF India Limited,10,INDIA,CHEMICALS,CHEMICALS,
BASML,INE186H01014,Bannari Amman Spinning Mills Limited,Bannari Amman Spinning Mills Limited,10,INDIA,,#N/A,
BATAINDIA,INE176A01028,Bata India Limited,Bata India Limited,5,INDIA,CONSUMER GOODS,LEATHER PRODUCTS,
BAYERCROP,INE462A01022,Bayer Cropscience Limited,Bayer Cropscience Limited,10,INDIA,FERTILISERS & PESTICIDES,PESTICIDES & AGRO CHEMICALS,FERTILISERS & PESTICIDES
BBL,INE464A01028,Bharat Bijlee Limited,Bharat Bijlee Limited,10,INDIA,,#N/A,
BBTC,INE050A01025,Bombay Burmah Trading Corporation Limited,Bombay Burmah Trading Corporation Limited,2,INDIA,CONSUMER GOODS,PLANTATIONS - TEA & COFFEE,
BCONCEPTS,INE977Y01011,,,,INDIA,,#N/A,
BDL,INE171Z01018,,,,INDIA,,#N/A,
BEARDSELL,INE520H01022,Beardsell Limited,Beardsell Limited,2,INDIA,,#N/A,
BEDMUTHA,INE844K01012,Bedmutha Industries Limited,Bedmutha Industries Limited,10,INDIA,,#N/A,
BEL,INE263A01024,Bharat Electronics Limited,Bharat Electronics Limited,1,INDIA,INDUSTRIAL MANUFACTURING,ELECTRICALS,
BEML,INE258A01016,BEML Limited,BEML Limited,10,INDIA,INDUSTRIAL MANUFACTURING,INFRASTRUCTURE - GENERAL,
BEPL,INE922A01025,Bhansali Engineering Polymers Limited,Bhansali Engineering Polymers Limited,1,INDIA,INDUSTRIAL MANUFACTURING,#N/A,
BERGEPAINT,INE463A01038,Berger Paints (I) Limited,Berger Paints (I) Limited,1,INDIA,CONSUMER GOODS,PAINTS & VARNISHES,
BFINVEST,INE878K01010,BF Investment Limited,BF Investment Limited,5,INDIA,,#N/A,
BFUTILITIE,INE243D01012,BF Utilities Limited,BF Utilities Limited,5,INDIA,CONSTRUCTION,POWER - GENERATION & DISTRIBUTION,
BGLOBAL,INE224M01013,Bharatiya Global Infomedia Limited,Bharatiya Global Infomedia Limited,10,INDIA,,#N/A,
BGRENERGY,INE661I01014,BGR Energy Systems Limited,BGR Energy Systems Limited,10,INDIA,CONSTRUCTION,#N/A,
BHAGERIA,INE354C01027,Bhageria Industries Limited,Bhageria Industries Limited,5,INDIA,,#N/A,
BHAGYANGR,INE458B01036,Bhagyanagar India Limited,Bhagyanagar India Limited,2,INDIA,,#N/A,
BHAGYAPROP,INE363W01018,Bhagyanagar Properties Limited,Bhagyanagar Properties Limited,2,INDIA,,#N/A,
BHANDARI,INE474E01029,Bhandari Hosiery Exports Limited,Bhandari Hosiery Exports Limited,1,INDIA,,#N/A,
BHARATFIN,INE180K01011,Bharat Financial Inclusion Limited,Bharat Financial Inclusion Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - GENERAL,
BHARATFORG,INE465A01025,Bharat Forge Limited,Bharat Forge Limited,2,INDIA,INDUSTRIAL MANUFACTURING,CASTINGS & FORGINGS,
BHARATGEAR,INE561C01019,Bharat Gears Limited,Bharat Gears Limited,10,INDIA,,#N/A,
BHARATIDIL,INE673G01013,Bharati Defence and Infrastructure Limited,Bharati Defence and Infrastructure Limited,10,INDIA,CONSTRUCTION,#N/A,
BHARATRAS,INE838B01013,Bharat Rasayan Limited,Bharat Rasayan Limited,10,INDIA,,#N/A,
BHARATWIRE,INE316L01019,Bharat Wire Ropes Limited,Bharat Wire Ropes Limited,10,INDIA,,#N/A,
BHARTIARTL,INE397D01024,Bharti Airtel Limited,Bharti Airtel Limited,5,INDIA,TELECOM,TELECOMMUNICATIONS - SERVICE,
BHEL,INE257A01026,Bharat Heavy Electricals Limited,Bharat Heavy Electricals Limited,2,INDIA,INDUSTRIAL MANUFACTURING,INFRASTRUCTURE - GENERAL,
BHUSANSTL,INE824B01021,Bhushan Steel Limited,Bhushan Steel Limited,2,INDIA,METALS,#N/A,
BIGBLOC,INE412U01017,Bigbloc Construction Limited,Bigbloc Construction Limited,10,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,
BIL,INE828A01016,Bhartiya International Limited,Bhartiya International Limited,10,INDIA,,#N/A,
BILENERGY,INE607L01029,Bil Energy Systems Limited,Bil Energy Systems Limited,1,INDIA,,#N/A,
BILPOWER,INE952D01018,Bilpower  Limited,Bilpower  Limited,10,INDIA,,#N/A,
BINANIIND,INE071A01013,Binani Industries Limited,Binani Industries Limited,10,INDIA,,#N/A,
BINDALAGRO,INE143A01010,Oswal Chemicals & Fertilizers Limited,Oswal Chemicals & Fertilizers Limited,10,INDIA,FERTILISERS & PESTICIDES,FERTILISERS,
BIOCON,INE376G01013,Biocon Limited,Biocon Limited,5,INDIA,PHARMA,PHARMACEUTICALS,
BIOFILCHEM,INE829A01014,Biofil Chemicals & Pharmaceuticals Limited,Biofil Chemicals & Pharmaceuticals Limited,10,INDIA,PHARMA,PHARMACEUTICALS,
BIRLACABLE,INE800A01015,Birla Cable Limited,Birla Cable Limited,10,INDIA,,#N/A,
BIRLACORPN,INE340A01012,Birla Corporation Limited,Birla Corporation Limited,10,INDIA,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
BIRLAMONEY,INE865C01022,Aditya Birla Money Limited,Aditya Birla Money Limited,1,INDIA,,#N/A,
BKMINDST,INE831Q01016,,,,INDIA,,#N/A,
BLBLIMITED,INE791A01024,BLB Limited,BLB Limited,1,INDIA,,#N/A,
BLISSGVS,INE416D01022,Bliss GVS Pharma Limited,Bliss GVS Pharma Limited,1,INDIA,PHARMA,PHARMACEUTICALS,
BLKASHYAP,INE350H01032,B. L. Kashyap and Sons Limited,B. L. Kashyap and Sons Limited,1,INDIA,,#N/A,
BLS,INE153T01027,BLS International Services Limited,BLS International Services Limited,1,INDIA,,#N/A,
BLUEBLENDS,INE113O01014,Blue Blends (I) Limited,Blue Blends (I) Limited,10,INDIA,,#N/A,
BLUECOAST,INE472B01011,Blue Coast Hotels Limited,Blue Coast Hotels Limited,10,INDIA,SERVICES,HOTELS,
BLUEDART,INE233B01017,Blue Dart Express Limited,Blue Dart Express Limited,10,INDIA,SERVICES,COURIERS,
BLUESTARCO,INE472A01039,Blue Star Limited,Blue Star Limited,2,INDIA,CONSUMER GOODS,CONSUMER GOODS - WHITE GOODS,
BODALCHEM,INE338D01028,Bodal Chemicals Limited,Bodal Chemicals Limited,2,INDIA,CHEMICALS,CHEMICALS,
BOHRA,INE802W01015,,,,INDIA,,#N/A,
BOMDYEING,INE032A01023,Bombay Dyeing & Mfg Company Limited,Bombay Dyeing & Mfg Company Limited,2,INDIA,TEXTILES,TEXTILES - PROCESSING,
BOROSIL,INE666D01022,,,,INDIA,,#N/A,
BOSCHLTD,INE323A01026,Bosch Limited,Bosch Limited,10,INDIA,AUTOMOBILE,AUTO ANCILLARIES,
BPCL,INE029A01011,Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,10,INDIA,ENERGY,REFINERIES,
BPL,INE110A01019,BPL Limited,BPL Limited,10,INDIA,,#N/A,
BRFL,INE589G01011,Bombay Rayon Fashions Limited,Bombay Rayon Fashions Limited,10,INDIA,TEXTILES,TEXTILES - SYNTHETIC & SILK,
BRIGADE,INE791I01019,Brigade Enterprises Limited,Brigade Enterprises Limited,10,INDIA,CONSTRUCTION,#N/A,
BRIGHT,INE684Z01010,,,,INDIA,,#N/A,
BRITANNIA,INE216A01022,Britannia Industries Limited,Britannia Industries Limited,2,INDIA,CONSUMER GOODS,FOOD PROCESSING,
BRNL,INE727S01012,Bharat Road Network Limited,Bharat Road Network Limited,10,INDIA,,#N/A,
BROOKS,INE650L01011,Brooks Laboratories Limited,Brooks Laboratories Limited,10,INDIA,,#N/A,
BSE,INE118H01025,BSE Limited,BSE Limited,2,INDIA,FINANCIAL SERVICES,#N/A,
BSELINFRA,INE395A01016,BSEL Infrastructure Realty Limited,BSEL Infrastructure Realty Limited,10,INDIA,CONSTRUCTION,#N/A,
BSHSL,INE032Z01012,,,,INDIA,,#N/A,
BSL,INE594B01012,BSL Limited,BSL Limited,10,INDIA,,#N/A,
BSLGOLDETF,INF209K01HT2,,,,INDIA,,#N/A,
BURNPUR,INE817H01014,Burnpur Cement Limited,Burnpur Cement Limited,10,INDIA,,#N/A,
BUTTERFLY,INE295F01017,Butterfly Gandhimathi Appliances Limited,Butterfly Gandhimathi Appliances Limited,10,INDIA,,#N/A,
BVCL,INE139I01011,Barak Valley Cements Limited,Barak Valley Cements Limited,10,INDIA,,#N/A,
