SYMBOL,NAME,FC
BAJAJFINSV,Bajaj Finserv Limited,5
BAJAJHIND,Bajaj Hindusthan Sugar Limited,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,10
BAJFINANCE,Bajaj Finance Limited,2
BALAJITELE,Balaji Telefilms Limited,2
BALAMINES,Balaji Amines Limited,2
BALAXI,Balaxi Ventures Limited,10
BALKRISHNA,Balkrishna Paper Mills Limited,10
BALKRISIND,Balkrishna Industries Limited,2
BALLARPUR,Ballarpur Industries Limited,2
BALMLAWRIE,Balmer Lawrie & Company Limited,10
BALPHARMA,Bal Pharma Limited,10
BALRAMCHIN,Balrampur Chini Mills Limited,1
BANARBEADS,Banaras Beads Limited,10
BANARISUG,Bannari Amman Sugars Limited,10
BANCOINDIA,Banco Products (I) Limited,2
BANG,Bang Overseas Limited,10
BANKBARODA,Bank of Baroda,2
BANKINDIA,Bank of India,10
BANSWRAS,Banswara Syntex Limited,10
BARTRONICS,Bartronics India Limited,10
BASF,BASF India Limited,10
BASML,Bannari Amman Spinning Mills Limited,10
BATAINDIA,Bata India Limited,5
BAYERCROP,Bayer Cropscience Limited,10
BBL,Bharat Bijlee Limited,10
BBTC,Bombay Burmah Trading Corporation Limited,2
BEARDSELL,Beardsell Limited,2
BEDMUTHA,Bedmutha Industries Limited,10
BEL,Bharat Electronics Limited,1
BEML,BEML Limited,10
BEPL,Bhansali Engineering Polymers Limited,1
BERGEPAINT,Berger Paints (I) Limited,1
BFINVEST,BF Investment Limited,5
BFUTILITIE,BF Utilities Limited,5
BGLOBAL,Bharatiya Global Infomedia Limited,10
BGRENERGY,BGR Energy Systems Limited,10
BHAGERIA,Bhageria Industries Limited,5
BHAGYANGR,Bhagyanagar India Limited,2
BHAGYAPROP,Bhagyanagar Properties Limited,2
BHANDARI,Bhandari Hosiery Exports Limited,1
BHARATFIN,Bharat Financial Inclusion Limited,10
BHARATFIN,Bharat Financial Inclusion Limited,10
BHARATFORG,Bharat Forge Limited,2
BHARATGEAR,Bharat Gears Limited,10
BHARATIDIL,Bharati Defence and Infrastructure Limited,10
BHARATRAS,Bharat Rasayan Limited,10
BHARATWIRE,Bharat Wire Ropes Limited,10
