3MINDIA,3M India
JAGRAN,Jagran Prakashan
JAMNAAUTO,Jamna Auto Inds.
JINDALSTEL,Jindal Steel & Power
JKCEMENT,JK Cement
JKPAPER,JK Paper
JMFINANCIL,JM Financial
JCHAC,Johnson Controls - Hitachi Air Conditioning India
JSWSTEEL,JSW Steel
JUBLFOOD,Jubilant FoodWorks
JUBILANT,Jubilant Life Sciences
JYOTHYLAB,Jyothy Laboratories
KAJARIACER,Kajaria Ceramics
KALPATPOWR,Kalpataru Power Trans
KSL,Kalyani Steels
KANSAINER,Kansai Nerolac Paints
KARURVYSYA,Karur Vysya Bank
KEC,KEC International
KEI,Kei Industries
KNRCON,KNR Constructions
KOTAKBANK,Kotak Mahindra Bank
KPIT,KPIT Technologies
KRBL,KPR Mills
KSBPUMPS,KSB Pumps
LTTS,L&T; Technology Services
LAXMIMACH,Lakshmi Machine Works
LTI,Larsen & Toubro
LEMONTREE,Lemon Tree Hotels
LGBFORGE,LG Balakrishnan & Bros.
LICHSGFIN,LIC Housing Fin.
LUMAXIND,Lumax Industries
LUPIN,Lupin
LUXIND,Lux Industries
MAANALU,M&M; Financial Services
MAGMA,Magma Fincorp
MGL,Mahanagar Gas
M&MFIN,Mahindra & Mahindra
MAHINDCIE,Mahindra CIE Automotive
MHRIL,Mahindra Holidays & Resorts
MAHLOG,Mahindra Logistics
MAJESCO,Majesco
MARICO,Marico
MARUTI,Maruti Suzuki India
MASFIN,Mas Financial Services
MASTEK,Mastek
MFSL,Max Financial Services
MAYURUNIQ,Mayur Uniquoters
MCLEODRUSS,Mcleod Russel
MEGH,Meghmani Organics
MERCK,Merck
MINDACORP,Minda Corporation
MINDAIND,Minda Industries
MINDTREE,MindTree
MOLDTKPAC,Mold-Tek Packaging
MOTHERSUMI,Motherson Sumi Systems
MPHASIS,Mphasis
MRF,MRF
MSPL,MRPL
MCX,Multi Commodity Exchange India
RADIOCITY,Music Broadcast
MUTHOOTCAP,Muthoot Capital Services
MUTHOOTFIN,Muthoot Finance
NATCOPHARM,Natco Pharma
NATIONALUM,National Aluminium
NBVENTURES,Nava Bharat Ventures
NAVINFLUOR,Navin Fluorine International
NAVNETEDUL,Navneet Education
NCC,NCC
NCLIND,NCL Industries
NESCO,Nesco
NESTLEIND,Nestle India
NHPC,NHPC
NIITTECH,NIIT Technologies
NILKAMAL,Nilkamal
NLCINDIA,NLC India
NMDC,NMDC
NIBL,NRB Bearings
NTPC,NTPC
OBEROIRLTY,Oberoi Realty
OCL,OCL India
ONMOBILE,ONGC
OFSS,Oracle Fin Ser Software
ORIENTELEC,Orient Electric
OCCL,Oriental Carbon & Chemicals
PAGEIND,Page Industries
PARAGMILK,Parag Milk Foods
PERSISTENT,Persistent Systems
PETRONET,Petronet LNG
PFIZER,Pfizer
PHILIPCARB,Phillips Carbon Black
PIIND,PI Industries
PIDILITIND,Pidilite Industries
PEL,Piramal Enterprises
PNBHOUSING,PNB Housing Finance
PNCINFRA,PNC Infratech
PFC,Power Finance Corp.
POWERGRID,Power Grid Corporation
POWERMECH,Power Mech Projects
PRATIBHA,Prataap Snacks
PRESTIGE,Prestige Estates Projects
PFS,PTC India
PVR,PVR
QUESS,Quess Corp
RADICO,Radico Khaitan
RALLIS,Rallis India
RKFORGE,Ramkrishna Forgings
RAYMOND,Raymond
RBLBANK,RBL Bank
REFEX,Redington India
RELIANCE,Reliance Industries
REPRO,Repco Home Finance Ltd.
RECLTD,Rural Electrification
SADBHAV,Sadbhav Engineering
SADBHIN,Sadbhav Infrastructure Project
SAGCEM,Sagar Cements
SAKSOFT,SAIL
SANOFI,Sanofi India
SBILIFE,SBI Life Insurance Company
SCHAEFFLER,Schaeffler India
SIS,Security and Intelligence Services
SEZAL,Seya Industries
SHAKTIPUMP,Shaily Engineering Plastics
SHANKARA,Shankara Building Products
SHARDACROP,Sharda Cropchem
SFL,Sheela Foam
SHOPERSTOP,Shopper's Stop
SHREECEM,Shree Cement
SHRIRAMCIT,Shriram City Union Finance
SRTRANSFIN,Shriram Transport Finance
SIEMENS,Siemens
SIMPLEXINF,Simplex Infrastructures
SJVN,SJVN
SKFINDIA,SKF India
SKIPPER,Skipper
SOBHA,Sobha
SOLARINDS,Solar Industries
SOMANYCERA,Somany Ceramics
SONATSOFTW,Sonata Software
SPLIL,Spicejet
SRF,SRF
SBIN,State Bank of India
STRTECH,Sterlite Technologies
SPARC,Sun Pharma Adv. Research
SUNPHARMA,Sun Pharmaceutical Inds.
SUNTV,Sun TV Network
SUNDARMHLD,Sundaram Finance
SUNDRMFAST,Sundram Fasteners
SUPREMEIND,Supreme Industries
SUPPETRO,Supreme Petrochem
SUVEN,Suven Life Sciences
SYMPHONY,Symphony
SYNGENE,Syngene International
TALWGYM,Talwalkars Lifestyles
TNPL,Tamil Nadu Newsprint
TATACHEM,Tata Chemicals
TATACOFFEE,Tata Coffee
TATACOMM,Tata Communications
TCS,Tata Consultancy Services
TATAELXSI,Tata Elxsi
TATAGLOBAL,Tata Global Beverages
TATAMETALI,Tata Metaliks
TATAMOTORS,Tata Motors DVR
TATAPOWER,Tata Power
TATASTEEL,Tata Steel
TEAMLEASE,TeamLease Services
TECHM,Tech Mahindra
TEJASNET,Tejas Networks
RAMCOCEM,The Ramco Cements
THERMAX,Thermax
THOMASCOTT,Thomas Cook (India)
TIFIN,TI Financial Holdings
TIMKEN,Timken India
TITAN,Titan Company
TORNTPHARM,Torrent Pharmaceuticals
TORNTPOWER,Torrent Power
TCI,Transport Corporation
TRENT,Trent
TRIDENT,Trident
TTKPRESTIG,TTK Prestige
TIINDIA,Tube Investments Of India
TVTODAY,TV Today
TV18BRDCST,TV18 Broadcast
TVSMOTOR,TVS Motor Co.
UJJIVAN,Ujjivan Financial Services
ULTRACEMCO,Ultratech Cement
UBL,United Breweries
MCDOWELL-N,United Spirits
UPL,UPL
WABAG,VA Tech Wabag
VTL,Vardhman Textiles
VARROC,Varroc Engineering
VBL,Varun Beverages
VEDL,Vedanta
VESUVIUS,Vesuvius India
VGUARD,V-Guard Industries
VIJAYABANK,Vijaya Bank
VINATIORGA,Vinati Organics
VINDHYATEL,Vindhya Telelinks
VIPIND,VIP Industries
VMART,V-Mart Retail
VOLTAS,Voltas
VRLLOG,VRL Logistics
VSTIND,VST Industries
WSI,VST Tillers Tractors
WABCOINDIA,Wabco India
WELSPUNIND,Welspun India
WSTCSTPAPR,West Coast Paper Mills
WHEELS,Wheels India
WHIRLPOOL,Whirlpool
WIPRO,Wipro
YESBANK,Yes Bank
ZEEL,Zee Entertainment
ZYDUSWELL,Zydus Wellness
