"symbol","close"
"BASF","2044.45"
"MADHAV","55.7"
"HIKAL","139.95"
"SAREGAMA","626.9"
"IDFC","49.4"
"DABUR","445.9"
"TATACHEM","674.6"
"DCMFINSERV","2.0"
"LUMAXIND","2134.4"
"KSBPUMPS","785.85"
"ECEIND","321.7"
"HOVS","211.65"
"KOTHARIPET","24.0"
"BLUEDART","3554.35"
"PATSPINLTD","13.2"
"GOKEX","86.6"
"STAR","423.85"
"OCL","1209.5"
"SANWARIA","14.8"
"INDRAMEDCO","44.85"
"ALPHAGEO","668.2"
"GLAXO","3294.8"
"ADSL","15.1"
"KSK","1.8"
"NELCAST","88.15"
"KPRMILL","614.85"
"PRICOLLTD","69.45"
"KALPATPOWR","367.5"
"NATNLSTEEL","15.95"
"JKLAKSHMI","328.05"
"MAGMA","150.9"
"GOLDSHARE","2651.6"
"GABRIEL","142.2"
"TATAELXSI","1388.5"
"REDINGTON","103.35"
"HCLTECH","956.65"
"KAUSHALYA","1.65"
"AFL","63.15"
"BEML","810.15"
"PHOENIXLTD","640.4"
"PETRONENGG","46.9"
"GANESHHOUC","104.9"
"HEXAWARE","462.75"
"FINCABLES","598.15"
"JBMA","366.4"
"ARIHANT","37.35"
"MAGNUM","8.2"
"NAHARSPING","95.2"
"SEAMECLTD","287.2"
"MANUGRAPH","34.7"
"JAYAGROGN","228.75"
"HITECHGEAR","432.0"
"BHARATGEAR","178.3"
"BIOCON","570.3"
"VENKEYS","3140.55"
"IFBAGRO","653.15"
"GAMMNINFRA","1.15"
"WOCKPHARMA","601.65"
"UNIENTER","80.0"
"TRIGYN","119.45"
"BSELINFRA","3.05"
"NTPC","160.7"
"ONWARDTEC","73.3"
"SURYAROSNI","355.85"
"TNPETRO","40.6"
"KABRAEXTRU","94.65"
"HCC","13.0"
"TINPLATE","185.1"
"JISLJALEQS","85.85"
"ESSELPACK","110.9"
"PARACABLES","14.3"
"BOSCHLTD","19085.0"
"ISMTLTD","7.3"
"IRB","199.6"
"GRANULES","107.15"
"MUKANDENGG","30.5"
"SESHAPAPER","1085.3"
"FDC","245.5"
"SANGHVIMOV","180.7"
"STARPAPER","218.9"
"VISAKAIND","598.2"
"M&MFIN","494.85"
"NIFTYBEES","1193.11"
"AXISBANK","621.05"
"UCALFUEL","212.7"
"APOLLOHOSP","963.55"
"KOPRAN","51.4"
"KOTAKPSUBK","335.44"
"ATLANTA","40.3"
"IPCALAB","750.85"
"AARTIDRUGS","555.2"
"RML","681.65"
"TRIL","22.4"
"BBL","1193.6"
"VISESHINFO","0.1"
"RELIGARE","45.1"
"KEC","309.35"
"GTNTEX","13.6"
"GTL","7.35"
"JKIL","235.9"
"SELMCL","1.85"
"IDBI","63.1"
"SKFINDIA","1716.9"
"GENUSPOWER","43.55"
"MUKTAARTS","49.65"
"TRIVENI","39.15"
"TATAINVEST","796.25"
"ELECTHERM","157.9"
"INDOWIND","5.25"
"CENTRALBK","69.0"
"ZEEL","522.9"
"JAGSNPHARM","29.1"
"J&KBANK","59.15"
"ITI","95.7"
"UNITECH","4.25"
"NAUKRI","1469.55"
"ITC","302.5"
"RALLIS","206.6"
"KTKBANK","123.55"
"GHCL","250.35"
"TORNTPOWER","231.5"
"NEULANDLAB","693.15"
"PPAP","510.45"
"VIJSHAN","9.65"
"BASML","232.0"
"FMGOETZE","450.0"
"DHAMPURSUG","90.4"
"SHALPAINTS","125.55"
"RANASUG","3.65"
"GODREJIND","619.1"
"AMBUJACEM","232.4"
"ANANTRAJ","42.4"
"RAMCOIND","246.1"
"ASTRAZEN","1744.05"
"DTIL","279.9"
"M&M","933.2"
"JHS","43.05"
"JMCPROJECT","545.3"
"CORDSCABLE","80.85"
"BALKRISIND","1251.4"
"RUCHISOYA","8.95"
"RSWM","253.3"
"20MICRONS","47.3"
"SILINV","232.8"
"RECLTD","115.65"
"SUNDARMFIN","1483.25"
"DREDGECORP","487.35"
"BAJAJHLDNG","2972.3"
"SELAN","263.8"
"PAGEIND","32404.15"
"CUMMINSIND","653.0"
"SOBHA","522.95"
"ANDHRABANK","34.55"
"MEGASOFT","7.7"
"RUCHIRA","136.15"
"ADVANIHOTR","51.75"
"PARSVNATH","12.2"
"BIL","407.0"
"PVP","4.15"
"KOTAKBANK","1277.25"
"GARDENSILK","29.1"
"HONAUT","21651.75"
"INDIAGLYCO","471.75"
"RBL","760.55"
"LAKSHVILAS","96.2"
"INDSWFTLTD","7.4"
"DENABANK","18.15"
"GOACARBON","725.7"
"RATNAMANI","875.0"
"RJL","304.35"
"GILLETTE","6688.95"
"UFLEX","293.45"
"HCL-INSYS","36.9"
"BANCOINDIA","221.95"
"YESBANK","381.05"
"PIDILITIND","1123.5"
"MOREPENLAB","30.4"
"PRAJIND","82.0"
"KANSAINER","514.75"
"HTMEDIA","58.25"
"ALLSEC","265.0"
"EIMCOELECO","378.75"
"BANSWRAS","90.05"
"FACT","40.5"
"DWARKESH","19.35"
"IBREALEST","146.0"
"GVKPIL","12.0"
"CENTUM","387.65"
"BALLARPUR","10.05"
"3MINDIA","24147.8"
"PENINLAND","16.35"
"ORIENTHOT","44.1"
"FOSECOIND","1409.55"
"SUBEX","5.3"
"SIMPLEX","18.95"
"GUJFLUORO","755.15"
"FORTIS","140.8"
"LUMAXTECH","188.8"
"DCM","89.05"
"RELCAPITAL","442.3"
"LITL","0.7"
"JUNIORBEES","308.09"
"BERGEPAINT","314.25"
"DCBBANK","170.45"
"EICHERMOT","27438.75"
"SABTN","8.15"
"ORIENTBANK","81.05"
"DCW","24.25"
"JSWSTEEL","342.95"
"RANEENGINE","505.0"
"GALLANTT","49.9"
"KESORAMIND","82.0"
"DHANBANK","16.4"
"DECCANCE","441.3"
"WENDT","3134.2"
"CHENNPETRO","334.85"
"LOKESHMACH","55.4"
"SUNPHARMA","571.45"
"WELSPUNIND","64.65"
"BARTRONICS","9.75"
"KEI","427.15"
"HARRMALAYA","92.2"
"MRO-TEK","28.85"
"JMFINANCIL","129.6"
"SHRIRAMCIT","2008.75"
"MARUTI","9146.05"
"PRAENG","9.05"
"NAGREEKEXP","26.2"
"NAHARCAP","125.9"
"ASTRAL","1101.45"
"NIITTECH","1264.5"
"KKCL","1427.55"
"VIPIND","592.7"
"INDHOTEL","128.1"
"SHIVAMAUTO","60.0"
"IFBIND","1132.5"
"MONSANTO","2887.75"
"BPCL","388.95"
"LAKSHMIEFL","13.7"
"ASHAPURMIN","50.75"
"SUNFLAG","67.6"
"TVTODAY","440.55"
"SARLAPOLY","43.6"
"KRBL","373.95"
"EXCELCROP","4536.35"
"NIITLTD","91.2"
"CENTURYTEX","908.85"
"LIQUIDBEES","1000.0"
"SOMATEX","8.55"
"NECLIFE","23.6"
"MANGLMCEM","240.8"
"VLSFINANCE","80.4"
"TCS","1974.35"
"SUBROS","341.0"
"SHYAMTEL","9.7"
"AMARAJABAT","822.1"
"SSWL","1209.55"
"GUJAPOLLO","189.0"
"TCI","322.8"
"DPSCLTD","17.4"
"WHEELS","1126.7"
"VENUSREM","52.6"
"PONNIERODE","121.05"
"RPGLIFE","277.65"
"GNFC","430.45"
"AEGISCHEM","232.3"
"LUPIN","822.85"
