Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
20-Apr-23,PODDARMENT,275.8,268.95,0.0252,0.0224,0.0224,0.428
20-Apr-23,POKARNA,355.6,366.85,-0.0311,0.034,0.034,0.6496
20-Apr-23,POLICYBZR,585.25,582.8,0.0042,0.0301,0.03,0.5731
20-Apr-23,POLYCAB,3129.2,3138.85,-0.0031,0.0188,0.0187,0.3573
20-Apr-23,POLYMED,961.7,951.95,0.0102,0.0236,0.0236,0.4509
20-Apr-23,POLYPLEX,1272.65,1282.2,-0.0075,0.0249,0.0248,0.4738
20-Apr-23,PONNIERODE,485.35,493.1,-0.0158,0.0376,0.0375,0.7164
20-Apr-23,POONAWALLA,312.2,311.1,0.0035,0.0286,0.0285,0.5445
20-Apr-23,POWERGRID,230.9,229.95,0.0041,0.0153,0.0152,0.2904
20-Apr-23,POWERINDIA,3197.65,3044.9,0.0489,0.023,0.0232,0.4432
20-Apr-23,POWERMECH,2468.2,2482.05,-0.0056,0.0304,0.0303,0.5789
20-Apr-23,PPAP,191.4,187,0.0233,0.0266,0.0266,0.5082
20-Apr-23,PPL,154.25,154.65,-0.0026,0.0223,0.0222,0.4241
20-Apr-23,PPLPHARMA,74.2,77.55,-0.0442,0.02,0.0202,0.3859
20-Apr-23,PPML,10,10,0,0,0,0
20-Apr-23,PRABHATSEC,10.8,10.8,0,0,0,0
20-Apr-23,PRAENG,12.35,12,0.0287,0.0323,0.0323,0.6171
20-Apr-23,PRAJIND,350.35,345.8,0.0131,0.0254,0.0254,0.4853
20-Apr-23,PRAKASH,53.1,53.25,-0.0028,0.0267,0.0266,0.5082
20-Apr-23,PRAKASHSTL,4.55,4.6,-0.0109,0.0476,0.0475,0.9075
20-Apr-23,PRAXIS,17.9,18.5,-0.033,0.0359,0.0359,0.6859
20-Apr-23,PRECAM,135.1,142.15,-0.0509,0.0348,0.0349,0.6668
20-Apr-23,PRECOT,185.95,184.4,0.0084,0.033,0.0329,0.6286
20-Apr-23,PRECWIRE,72.9,72.45,0.0062,0.0316,0.0315,0.6018
20-Apr-23,PREMEXPLN,403.2,411.6,-0.0206,0.0275,0.0275,0.5254
20-Apr-23,PREMIER,2.7,2.55,0.0572,0.035,0.0351,0.6706
20-Apr-23,PREMIERPOL,84.5,81.75,0.0331,0.0366,0.0366,0.6992
20-Apr-23,PRESSMN,81,79,0.025,0.0355,0.0354,0.6763
20-Apr-23,PRESTIGE,458.15,450.7,0.0164,0.0231,0.0231,0.4413
20-Apr-23,PRHOLDING,10,10,0,0,0,0
20-Apr-23,PRICOLLTD,230.2,230.5,-0.0013,0.0318,0.0317,0.6056
20-Apr-23,PRIMESECU,113.45,112.3,0.0102,0.0252,0.0251,0.4795
20-Apr-23,PRINCEPIPE,590.45,590.6,-0.0003,0.0194,0.0194,0.3706
20-Apr-23,PRITI,164.7,159.8,0.0302,0.0298,0.0298,0.5693
20-Apr-23,PRITIKAUTO,15.95,15.9,0.0031,0.033,0.0329,0.6286
20-Apr-23,PRIVISCL,1087.95,1099.15,-0.0102,0.0302,0.0301,0.5751
20-Apr-23,PRIYAINT,8.5,8.5,0,0,0,0
20-Apr-23,PROZONINTU,23.6,23.6,0,0.0349,0.0348,0.6649
20-Apr-23,PRSMJOHNSN,126.25,129.1,-0.0223,0.025,0.025,0.4776
20-Apr-23,PRUDENT,890.4,890.9,-0.0006,0.0246,0.0246,0.47
20-Apr-23,PSB,31.15,31.75,-0.0191,0.0323,0.0322,0.6152
20-Apr-23,PSPPROJECT,669.75,669.05,0.001,0.0231,0.0231,0.4413
20-Apr-23,PSUBANKICI,39.08,39.21,-0.0033,0.0046,0.0046,0.0879
20-Apr-23,PSUBNKBEES,43.27,43.36,-0.0021,0.0197,0.0196,0.3745
20-Apr-23,PTC,92.35,92.25,0.0011,0.0252,0.0252,0.4814
20-Apr-23,PTL,32.35,32.35,0,0.0222,0.0222,0.4241
20-Apr-23,PUNJABCHEM,815.15,808.7,0.0079,0.024,0.0239,0.4566
20-Apr-23,PURBANCHAL,8.65,8.65,0,0,0,0
20-Apr-23,PURVA,77.6,79.1,-0.0191,0.03,0.03,0.5731
20-Apr-23,PVP,10.25,9.8,0.0449,0.0494,0.0494,0.9438
20-Apr-23,PVR,1508.7,1501.2,0.005,0.0213,0.0213,0.4069
20-Apr-23,QGOLDHALF,51.4,50.95,0.0088,0.0077,0.0078,0.149
20-Apr-23,QNIFTY,1868.23,1867.37,0.0005,0.0095,0.0095,0.1815
20-Apr-23,QUALITY,10,10,0,0,0,0
20-Apr-23,QUESS,372.65,368.85,0.0102,0.0227,0.0227,0.4337
20-Apr-23,QUICKHEAL,139.25,140.7,-0.0104,0.0245,0.0245,0.4681
20-Apr-23,RADHIKAJWE,158.9,158.45,0.0028,0.0307,0.0306,0.5846
20-Apr-23,RADIANTCMS,95.55,96.7,-0.012,0.0114,0.0114,0.2178
20-Apr-23,RADICO,1114.8,1097.8,0.0154,0.0214,0.0214,0.4088
20-Apr-23,RADICOFIN,10,10,0,0,0,0
20-Apr-23,RADIOCITY,11.25,11.45,-0.0176,0.0274,0.0273,0.5216
20-Apr-23,RAILTEL,106.75,106.65,0.0009,0.023,0.0229,0.4375
20-Apr-23,RAIN,156.6,158.3,-0.0108,0.026,0.0259,0.4948
