SUBJECT,"Exports in goods, s.a.","Exports in goods, s.a.","Exports in goods, s.a.","GDP Imports of goods and services; constant prices, s.a.","GDP Imports of goods and services; constant prices, s.a.",Overnight interbank rate,"Exchange rates,  monthly averages, National currency per US dollar","Broad money, s.a.","Broad money, s.a.","Broad money, s.a.","Narrow money, s.a.","Narrow money, s.a.","Manufacturing - Confidence indicator, s.a.","Total manufacturing, s.a.","Total manufacturing, s.a.","Total manufacturing, s.a.","Current account as a % of GDP, s.a.",Long-term interest rate,3 month interbank rate,"Imports in goods, s.a.","Imports in goods, s.a.","Imports in goods, s.a.","Passenger car registrations, s.a.",Share prices,Share prices,Consumer prices: all items,Consumer prices: all items,Consumer prices: all items,"Industrial production, s.a.","Industrial production, s.a.","Industrial production, s.a.","Gross domestic product; constant prices, s.a.","Gross domestic product; constant prices, s.a.","GDP Private final consumption expenditure; constant prices, s.a.","GDP Private final consumption expenditure; constant prices, s.a.","GDP Government consumption expenditure; constant prices, s.a.","GDP Government consumption expenditure; constant prices, s.a.","GDP Gross fixed capital formation; constant prices, s.a.","GDP Gross fixed capital formation; constant prices, s.a.","GDP Exports; constant prices, s.a.","GDP Exports; constant prices, s.a."
LOCATION,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
MEASURE,GP,GY,ST,GP,GY,ST,ST,GP,GY,ST,GP,ST,ST,GP,GY,ST,ST,ST,ST,GP,GY,ST,ST,GP,GY,GP,GY,ST,GP,GY,ST,GP,GY,GP,GY,GP,GY,GP,GY,GP,GY
FREQUENCY,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
TIME_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-04-01,,,,,,,4.7619000037619,1.78737332561452,7.24234360896697,0.0793777241151882,2.98928605511683,0.220503509050942,,,,,,,,,,,,-2.68870742861598,-15.4378677742235,2.04220558147324,2.60095824686764,2.70428442207485,,,,,,,,,,,,,
1963-07-01,,,,,,,4.7619000037619,2.79623056937861,8.0169897999206,0.0815973083021741,3.45794840476912,0.228128406624629,,,,,,,,,,,,-0.204666393778981,-12.1441441445045,2.80186791231571,2.59653794918338,2.78005489955471,,,,,,,,,,,,,
1963-10-01,,,,,,,4.7619000037619,3.30426707259074,9.54087409945172,0.0842935012925232,3.82344199395597,0.236850763923658,,,,,,,,,,,,6.25512715363518,-0.518433179533487,1.94678780028549,4.52428476378714,2.83417666918048,,,,,,,,,,,,,
1964-01-01,,,,,,,4.7619000037619,2.61065859921575,10.9124457474692,0.0864941168325964,3.43690095468165,0.244991090090121,,,,,,,,,,,,-1.331789230074,1.81238797073376,2.164226607248,9.25799863849068,2.8955146747513,,,,,,,,,,,,,
1964-04-01,,,,,,,4.7619000037619,1.68928050357148,10.8054589985117,0.0879552450849858,2.12465882322983,0.250196314901848,,,,,,,,,,,,-3.93192488284013,0.51166598424276,3.73831775664852,11.0740493664227,3.00375821398389,,,,,,,,,,,,,
1964-07-01,,,,,,,4.7619000037619,2.9598345930768,10.9811013018264,0.0905585748554367,2.33540165623005,0.256039403783892,,,,,,,,,,,,1.42537161495476,2.15340442986937,6.36636636684639,14.9253731346132,3.19498846666035,,,,,,,,,,,,,
1964-10-01,,,,,,,4.7619000037619,2.14932125418697,9.7429138048625,0.0925049695522934,2.62601757132176,0.262763043516764,,,,,,,,,,,,-1.38526400321778,-5.19204786741016,4.51722190808556,17.8230426476102,3.33931318563714,,,,,,,,,,,,,
1965-01-01,,,,,,,4.7619000037619,1.88930565497437,8.96982015572418,0.0942526711731772,1.91993843185415,0.267807932173952,,,,,,,,,,,,-1.05863192203196,-4.92957746500361,-0.86439762237191,14.3302180687886,3.31044824185694,,,,,,,,,,,,,
1965-04-01,,,,,,,4.7619000037619,2.55215720230431,9.89366569004592,0.0966581475088877,2.05154646128166,0.273302136329499,,,,,,,,,,,,-3.53909465022764,-4.54082671556428,-0.381471389980162,9.78978979004589,3.29781982893415,,,,,,,,,,,,,
1965-07-01,,,,,,,4.7619000037619,2.55418158765503,9.46384562245104,0.0991269721155282,2.27846216298712,0.279529222096402,,,,,,,,,,,,-2.83703071652836,-8.55249949812706,5.36105032834828,8.75211744765711,3.47461760970156,,,,,,,,,,,,,
