Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
BANKBEES,Nifty Bank,R*Shares Bank BeES,4-Jun-04,1,INF732E01078,10
GOLDBEES,Gold,R*Shares Gold BeES,19-Mar-07,1,INF732E01102,100
GOLDSHARE,Gold,UTI Mutual Fund - UTI Gold Exchange Traded Fund,17-Apr-07,1,INF789F01059,100
JUNIORBEES,Nifty Next 50,R*Shares Junior BeES,6-Mar-03,1,INF732E01045,1.25
KOTAKGOLD,Gold,Kotak Mutual Fund - Gold Exchange Traded Fund,8-Aug-07,1,INF373I01049,10
KOTAKPSUBK,Nifty PSU Bank,Kotak Mahindra Mutual Fund,16-Nov-07,1,INF373I01023,10
LIQUIDBEES,Government Securities,R*Shares Liquid BeES,16-Jul-03,1,INF732E01037,1000
NIFTYBEES,Nifty 50,R*Shares Nifty BeES,8-Jan-02,1,INF732E01011,10
PSUBNKBEES,Nifty PSU Bank,R*Shares PSU Bank BeES,1-Nov-07,1,INF732E01110,10
QGOLDHALF,Gold,Quantum Gold Fund -Exchange Traded Fund (ETF),28-Feb-08,1,INF082J01010,100
QNIFTY,Nifty 50,Quantum Nifty ETF,18-Jul-08,1,INF082J01028,10
SETFGOLD,Gold,SBI-ETF Gold,28-May-09,1,INF200K01099,100
SHARIABEES,Shariah,R*Shares Shariah BeES,1-Apr-09,1,INF732E01128,10
KOTAKNIFTY,Nifty 50,Kotak Mahindra Mutual Fund-Kotak Nifty ETF,11-Feb-10,1,INF174K01518,10
HNGSNGBEES,Hang Seng Index,R*Shares Hang Seng BeES,18-Mar-10,1,INF732E01227,10
IVZINGOLD,Gold,Invesco India Gold Exchange Traded Fund,22-Mar-10,1,INF205K01361,100
M50,Nifty 50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,30-Jul-10,1,INF247L01536,7
HDFCMFGETF,Gold,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund,19-Aug-10,1,INF179K01CN1,100
GOLDIWIN,Gold,ICICI Prudential Gold Exchange Traded Fund,2-Sep-10,1,INF109KB1WF4,100
INFRABEES,Nifty Infra,R*Shares Infra BeES,5-Oct-10,1,INF732E01268,10
AXISGOLD,Gold,Axis Mutual Fund - Axis Gold ETF,16-Nov-10,1,INF846K01347,100
M100,Nifty Midcap 100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,4-Feb-11,1,INF247L01023,10
N100,Nasdaq100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,31-Mar-11,1,INF247L01031,10
BSLNIFTY,Nifty 50,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth,27-Jul-11,1,INF209K01IR4,10
BSLGOLDETF,Gold,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth,20-May-11,1,INF209K01HT2,10
