Date,Index,Open,High,Low,Close,Volume,Turnover
2016-01-01,Nifty 50,7938.45,7972.55,7909.8,7963.2,64843836.0,26139100000.0
2016-01-04,Nifty 50,7924.55,7937.55,7781.1,7791.3,138864905.0,58970800000.0
2016-01-05,Nifty 50,7828.4,7831.2,7763.25,7784.65,149672973.0,59485100000.0
2016-01-06,Nifty 50,7788.05,7800.95,7721.2,7741.0,151715828.0,67221700000.0
2016-01-07,Nifty 50,7673.35,7674.95,7556.6,7568.3,194732861.0,78032100000.0
2016-01-08,Nifty 50,7611.65,7634.1,7581.05,7601.35,162348690.0,67535700000.0
2016-01-11,Nifty 50,7527.45,7605.1,7494.35,7563.85,194836791.0,73271500000.0
2016-01-12,Nifty 50,7587.2,7588.3,7487.8,7510.3,168975973.0,70714800000.0
2016-01-13,Nifty 50,7557.9,7590.95,7425.8,7562.4,221908258.0,95851700000.0
2016-01-14,Nifty 50,7467.4,7604.8,7443.8,7536.8,206988549.0,92467500000.0
2016-01-15,Nifty 50,7561.65,7566.5,7427.3,7437.8,203643071.0,82790700000.0
2016-01-18,Nifty 50,7420.35,7463.65,7336.4,7351.0,240798183.0,84315600000.0
2016-01-19,Nifty 50,7381.8,7462.75,7364.15,7435.1,194068339.0,70388400000.0
2016-01-20,Nifty 50,7357.0,7470.9,7241.5,7309.3,232614141.0,87941600000.0
2016-01-21,Nifty 50,7376.65,7398.7,7250.0,7276.8,248113284.0,94011600000.0
2016-01-22,Nifty 50,7355.7,7433.4,7327.6,7422.45,236282061.0,76663900000.0
2016-01-25,Nifty 50,7468.75,7487.15,7421.2,7436.15,168202502.0,59109900000.0
2016-01-27,Nifty 50,7469.6,7477.9,7419.7,7437.75,193389891.0,68347700000.00001
2016-01-28,Nifty 50,7426.5,7468.85,7409.6,7424.65,283036298.0,100498799999.99998
2016-01-29,Nifty 50,7413.35,7575.65,7402.8,7563.55,307934042.0,112773300000.0
2016-02-01,Nifty 50,7589.5,7600.45,7541.25,7555.95,206645021.0,82095000000.0
2016-02-02,Nifty 50,7566.65,7576.3,7428.05,7455.55,237338907.0,80309900000.0
2016-02-03,Nifty 50,7392.45,7419.4,7350.3,7361.8,197863301.0,67481700000.0
2016-02-04,Nifty 50,7411.45,7457.05,7365.95,7404.0,229563364.0,74653500000.0
2016-02-05,Nifty 50,7418.25,7503.15,7406.65,7489.1,257518899.0,86282400000.0
2016-02-08,Nifty 50,7489.7,7512.55,7363.2,7387.25,176758985.0,57464500000.0
2016-02-09,Nifty 50,7303.95,7323.45,7275.15,7298.2,218730280.0,74151300000.0
2016-02-10,Nifty 50,7264.3,7271.85,7177.75,7215.7,254481339.0,81296500000.0
2016-02-11,Nifty 50,7203.6,7208.65,6959.95,6976.35,301302956.0,92502700000.0
2016-02-12,Nifty 50,7023.65,7034.8,6869.0,6980.95,344210729.0,110626299999.99998
2016-02-15,Nifty 50,7057.35,7182.8,7056.8,7162.95,365217073.0,102043400000.0
2016-02-16,Nifty 50,7201.25,7204.65,7037.7,7048.25,261607451.0,76383900000.0
2016-02-17,Nifty 50,7058.85,7123.7,6960.65,7108.45,268017961.0,76863200000.0
2016-02-18,Nifty 50,7177.4,7215.1,7127.85,7191.75,254331498.0,80515100000.0
2016-02-19,Nifty 50,7170.55,7226.85,7145.95,7210.75,198206480.0,61565800000.0
2016-02-22,Nifty 50,7208.85,7252.4,7200.7,7234.55,159162842.0,58328900000.0
2016-02-23,Nifty 50,7240.3,7241.7,7090.7,7109.55,200396978.0,64331600000.0
2016-02-24,Nifty 50,7075.0,7090.8,7009.75,7018.7,205898417.0,64971800000.0
2016-02-25,Nifty 50,7029.85,7034.2,6961.4,6970.6,291932544.0,90901600000.0
2016-02-26,Nifty 50,7039.3,7052.9,6985.1,7029.75,213142575.0,68809600000.0
2016-02-29,Nifty 50,7050.45,7094.6,6825.8,6987.05,487969285.0,159921500000.0
2016-03-01,Nifty 50,7038.25,7235.5,7035.1,7222.3,283561570.0,98965800000.0
2016-03-02,Nifty 50,7321.7,7380.35,7308.15,7368.85,348965708.0,109830600000.0
2016-03-03,Nifty 50,7429.55,7483.95,7406.05,7475.6,287248532.0,92554300000.0
2016-03-04,Nifty 50,7505.4,7505.9,7444.1,7485.35,290441230.0,81350600000.0
